Prompt,Answer
,
ถ้ามีอาการเจ็บหน้าอกและหอบหืดขณะออกกำลังกายควรปรึกษาแพทย์ด้านใด,อาการเจ็บหน้าอกและหอบหืดขณะออกกำลังกาย สามารถเกิดได้จากหลายสาเหตุ ดังนั้นควรปรึกษาเเพทย์หลายด้านเช่น เเพทย์ด้านหัวใจเเละระบบทางเดินหายใจ
ผมมีอาการท้องผูกและอาหารย่อยยากมานานหลายปีต้องไปตรวจอะไร,การท้องผูกและอาการอาหารย่อยยากเป็นเรื่องที่ควรได้รับการตรวจสุขภาพจากแพทย์เพื่อทำการวินิจฉัยและตรวจสอบสาเหตุที่เป็นไปได้ โดยปกติแล้วมักจะไปพบแพทย์ทางการแพทย์ทั่วไป (General Practitioner) ก่อนเพื่อการประเมินเบื้องต้น และหากจำเป็นแพทย์อาจจะแนะนำให้ไปพบแพทย์เฉพาะทางเพื่อการวินิจฉัยและการรักษาเพิ่มเติม
ผู้สูงวัยมีอาการปวดศีรษะรุนแรงและมีอาการคลื่นไส้หรืออาเจียนควรพบแพทย์ด้านใด,ผู้สูงวัยที่มีอาการปวดศีรษะรุนแรงพร้อมกับคลื่นไส้หรืออาการอาเจียนมักจะต้องพบแพทย์ทางระบบประสาทหรือทางเรื้อรังอย่างเร่งด่วน เนื่องจากอาการเหล่านี้อาจเป็นเครื่องชี้ภาวะที่ร้ายแรง เช่น การเป็นเลือดออกในสมอง (Cerebral Hemorrhage) หรืออาการเป็นลมในสมอง (Stroke) ซึ่งอาจเกิดขึ้นได้ในกลุ่มผู้สูงวัยได้แม้ในบางกรณี
หมอแบบไหนที่ให้คำปรึกษาได้หากมีอาการท้องเสียรุนแรงและมีเลือดปนเป็นอุจจาระ,"ถ้าคุณมีอาการท้องเสียรุนแรงและมีเลือดปนเป็นอุจจาระ คุณควรพบแพทย์ที่เชี่ยวชาญด้านโรคท้องเสียเรื้อรัง, ลำไส้อักเสบเรื้อรัง, ลำไส้ใหญ่เเละลำไส้เล็ก"
คลินิกด้านไหนที่รักษาอาการระบบทางเดินหายใจอักเสบรุนแรงและมีอาการหายใจเหนื่อย,คลินิกที่คุณควรพบเพื่อรักษาอาการระบบทางเดินหายใจอักเสบรุนแรงและมีอาการหายใจเหนื่อยคือคลินิกโรคทรวงอกหรือคลินิกอายุรกรรมที่เชี่ยวชาญด้านโรคทางเดินหายใจ แพทย์ที่เชี่ยวชาญในสาขานี้สามารถวินิจฉัยและรักษาโรคที่เกี่ยวข้องกับทางเดินหายใจได้
อยากตรวจหาสาเหตุของการเจ็บแสบหลังสะโพกและมีปัญหาการเคลื่อนไหว,"ถ้าคุณมีอาการเจ็บแสบหลังสะโพกและมีปัญหาในการเคลื่อนไหว คุณควรพบแพทย์ที่เชี่ยวชาญในทางด้านออร์โธปีดิกส์หรือหมอกระดูกและข้อ (Orthopedic doctor) หรือบริเวณหลัง (Back specialist) เพื่อให้การวินิจฉัยที่แม่นยำเกี่ยวกับสาเหตุของอาการที่คุณกำลังเผชิญอยู่ แพทย์ด้านนี้จะทำการตรวจสอบประวัติการเจ็บป่วยของคุณ ตรวจสอบระดับความเจ็บปวด และอาจสั่งให้ทำการตรวจรังสีเพื่อดูภาพของกระดูกและข้อ อาจจะเป็นการทำการตรวจ X-ray, MRI หรือ CT scan เพื่อให้ความชัดเจนในการวินิจฉัย"
เด็กมีปัญหาการมองเห็นและมีปัญหาด้านสายตาต้องปรึกษาแพทย์ด้านใด,ถ้าเด็กมีปัญหาการมองเห็นหรือปัญหาด้านสายตา คุณควรพบแพทย์ที่เชี่ยวชาญด้านตาและสายตา (Ophthalmologist) หรือแพทย์ตา (Eye doctor) เพื่อให้การวินิจฉัยและการรักษาที่เหมาะสมกับสภาพการมองเห็นของเด็ก แพทย์ด้านนี้จะทำการตรวจสอบสายตาของเด็กโดยใช้เครื่องมือทางการแพทย์ เช่น ตรวจสอบการมองเห็นแบบวัดระยะทาง (Visual acuity test) หรือการตรวจสอบโครงสร้างและสภาพการทำงานของตา
น้องสาวมีอาการตกขาวที่มีกลิ่นเหม็นและคันแต่อายที่จะพบแพทย์ควรเริ่มต้นอย่างไร,"ถ้าน้องสาวมีอาการตกขาวที่มีกลิ่นเหม็นและคัน แนะนำให้เริ่มต้นด้วยการพบแพทย์ที่เชี่ยวชาญด้านนรีเวชหรือนัดหมายกับแพทย์นรีเวชหรือแพทย์สายนี้ที่รับการวินิจฉัยและรักษาอาการด้วยความชำนาญ การวินิจฉัยอาการตกขาวที่มีกลิ่นเหม็นและคันอาจจะต้องใช้การตรวจสอบทางทางการแพทย์เพิ่มเติม เช่น ตรวจสอบตัวอย่างของน้ำคร่ำซึ่งมีวิธีการตรวจสอบทางห้องปฏิบัติการ เพื่อระบุสาเหตุของการตกขาว เช่น การติดเชื้อจากเชื้อแบคทีเรีย, เชื้อร่วมที่ก่อให้เกิดโรคหรือสภาวะที่ผิดปกติอื่น ๆ"
ลูกสาวมีอาการปวดท้องประจำเดือนและการมีรอยคราบเลือดที่ไม่ปกติต้องตรวจอะไร,"ถ้าลูกสาวมีอาการปวดท้องประจำเดือนและมีการมีรอยคราบเลือดที่ไม่ปกติ ควรพบแพทย์สำหรับการวินิจฉัยและรักษาเพิ่มเติม เนื่องจากอาการเหล่านี้อาจเป็นเครื่องหมายของสถานะที่เกิดขึ้นในระบบการเจริญพันธุ์หรือปัญหาสุขภาพอื่น ๆ ที่ต้องได้รับการประเมินโดยแพทย์ แพทย์อาจทำการตรวจร่างกายทั่วไป, สอบถามประวัติการมีประจำเดือน, ระยะเวลาของอาการปวดท้อง, ความรุนแรงของอาการ, และประวัติการมีรอยคราบเลือดที่ไม่ปกติ เพื่อให้การวินิจฉัยที่แม่นยำ"
อยากหาหมอที่ตรวจหาสาเหตุของอาการหัวใจเต้นเร็วและเหนื่อยง่าย,"หากคุณมีอาการหัวใจเต้นเร็วและเหนื่อยง่าย คุณควรพบแพทย์ที่เชี่ยวชาญด้านโรคหัวใจหรือแพทย์ที่เป็นสาขาต่าง ๆ ที่เกี่ยวข้องกับโรคหัวใจ เช่น แพทย์เฉพาะโรคหัวใจ (Cardiologist), แพทย์อายุรกรรมที่เชี่ยวชาญในโรคหัวใจ (General Practitioner with specialization in Cardiology), แพทย์เวชศาสตร์ฉุกเฉินหรือหมอฉุกเฉิน (Emergency Medicine Physician), แพทย์เฉพาะสายตาหรือโรคหัวใจ (Cardiothoracic Surgeon)"
,
ไม่แน่ใจว่าจะเกี่ยวกับโรคหัวใจหรือไม่ครับ อายุ 29 เพิ่งเริ่มเป็นแต่ก็เคยมีอาการมาหลายครั้งเหมือนกัน โดยบริเวณใต้ราวนม ใต้แขนซ้าย บริเวณซี่โครงส่วนบนครับ หายใจเข้าจะเจ็บแปลบ ๆๆ และขัด ๆ แต่ก็เคยไปเช็คคลื่นหัวใจที่โรงพยาบาลแล้ว หมอบอกว่าปกติครับ อยากทราบว่าจะพบแพทย์ผู้เชี่ยวชาญเฉพาะทางท่านใดได้บ้าง,"รศ. พญ.อริศรา สุวรรณกูล แพทย์เฉพาะทางในอายุรศาสตร์โรคหัวใจ ว่างวันพฤหัสบดี เวลา09:30 - 11:00 น. สัปดาห์ที่ 1,2,3,4,5 เสาร์ 09:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 ครับ"
เมื่อสองปีที่แล้วพี่สาวเป็นไทรอยเป็นพิษสุดท้ายทำการกลืนแร่ และหลังจากกลืนแร่ก็ยังไม่มีอาการ มีเพียงเป็นคนที่เหงื่อออกมาไม่ทราบจะเกี่ยวกันไหมแต่ทีนี้พี่เขาก็กลัวว่าจะเป็นมะเร็ง และไม่แน่ใจว่าจะมีผลกระทบอย่างไรกับตัวเองภายหลังจากกลืนแร่ต้องทำการปฏิบัติตัวอย่างไรเป็นพิเศษไหม ควรปรึกษาแพทย์ผู้เชี่ยวชาญท่านไหนดี,"สามารถปรึกษา รศ. นพ.อรรถพล ใจชื่น แพทย์เฉพาะทางในมะเร็งวิทยานรีเวช เพื่อให้คำปรึกษา ว่างในวันอังคาร 09:30 - 12:00 น. สัปดาห์ที่ 1,2,3,4 09:30 - 16:00 น. สัปดาห์ที่ 5 ศุกร์ 16:00 - 19:00 น. สัปดาห์ที่ 1,2,3,4,5 เสาร์ 08:30 - 12:30 น. สัปดาห์ที่ 1,2,3,4,5"
ผมตื่นมามีอาการคล้ายสิวหัวช้างที่หลังหูสามเม็ด กดเจ็บ แล้วก้อต่อมน้ำเหลืองที่คอโต ต่อมาเลยกินยาAmkเพื่อลดต่อมน้ำเหลืองกินมา2วัน อาการดีขึ้นผมจึงจัดการกับหัวสิวหัวช้างที่อยู่หลังหูใช้clinda m กับ benzac ac5 ตื่นมาอีกวันแผลตกสะเกดเฉยทั้งที่ก่อนหน้าไม่มีหัว ตกสะเกดสีดำบุ๋มลงไปประมาณครึ่ง ซม. ต่อมามีอาการปวดบวมร้อน บางเวลา มีเหมือนโดนเข็มทิ่มเจ็บจี๊ดจี๊ด ตอนนี้ ผม ซื้อ cloxaมากินคับ กังวลเหมือนกัน แผลตกสะเก็ดแต่ยัง ปวด ร้อน อยู่ ตอนนี้ก้ออาทิตนึงแล้ว กินcloxa ได้สองเม็ด อยากไปพบแพทย์เฉพาะทางท่านไหนได้บ้างครับ,"ผศ. พญ.ธัญญา เตชะพิเชฐวนิช เฉพาะทางโรคผิวหนัง  อังคาร 13:00 - 14:30 น. สัปดาห์ที่ 1,2,3,4,5 พฤหัสบดี 09:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 ศุกร์ 13:00 - 15:00 น. สัปดาห์ที่ 1,2,3,4,5 อาทิตย์ 15:30 - 19:00 น. สัปดาห์ที่ 1,2,3,4,5"
อายุ 18 ปี ปวดปัสสาวะตอนกลางคืน แต่ไม่ได้ลุกไปปัสสาวะ ตอนเช้าเจ็บตึงท้องมาก ปัสสาวะออกมามาก อันตรายไหม ควรปรึกษาแพทย์ผู้เชี่ยวชาญท่านไหนดี,"รศ. นพ.ภควัฒน์ ระมาตร์ แพทย์ในด้านทางเดินปัสสาวะ ครับ ว่างในเวลาจันทร์ 09:00 - 11:00 น. สัปดาห์ที่ 1,2,3,4,5 เสาร์ 13:00 - 16:00 น. สัปดาห์ที่ 1,2,3,4,5"
เวียนหัวไม่หมุน โคลงเคลง เพลีย มือเท้าเย็น ไปตรวจคลินิกบอกว่าเส้นเลือดหัวใจตีบ ไปตรวจที่ รพ. ได้เดินสายพาน ผลปกติ เลยอยากตรวจกับแพทย์เฉพาะทาง,"ผศ. นพ.ปุณณฤกษ์  ทองเจริญแพทย์เฉพาะทางเกี่ยวกับโรคหัวใจ เช่น การผ่าตัดหัวใจพิการแต่กำเนิด, หลอดเลือดหัวใจตีบและลิ้นหัวใจครับ ว่างในวัน จันทร์ 13:00 - 14:00 น. สัปดาห์1,2,3,4,5 "
อยากหาแพทย์เฉพาะทางเพื่อรักษาอาการตกขาวออกมามากปนกับปัสสาวะ มีปัสสาวะแสบและปวดท้องน้อย,"รศ. นพ.ภควัฒน์ ระมาตร์ แพทย์ในด้านทางเดินปัสสาวะ ครับ ว่างในเวลาจันทร์ 09:00 - 11:00 น. สัปดาห์ที่ 1,2,3,4,5 เสาร์ 13:00 - 16:00 น. สัปดาห์ที่ 1,2,3,4,5"
หายใจมีเสียงหวีด ไอ เหนื่อย มีเสมหะเเหนียว เป็นมา 2 เดือน ไปหาหมอ ตรวจเอกซเรย์ ปกติดี ให้ยาขยายหลอดลมมาทาน แต่ไม่ดีขึ้นเลยอยากพบแพทย์เฉพาะทางครับ,"ผศ. นพ.ไพบูลย์ สุรีย์พงษ์ แพทย์เฉพาะทางโรคเกี่ยวกับหลอดลมและโรคหยุดหายใจขณะหลับ(Obstructive Sleep Apnea ว่างในวันศุกร์ 09:00 - 11:00 น. สัปดาห์ที่ 1,2,3,4,5) "
มีผื่นคันเป็นขุยๆที่ขา แขนและลำตัว เวลาอากาศเย็นจะคันมาก มีช่วงที่ลาม มีช่วงที่เป็นๆหายๆ ไปหาหมอแล้วแต่ตรวจไม่พบว่าเป็นภูมิแพ้อะไร มีแพทย์เฉพาะทางท่านใดชำนาญด้านนี้บ้าง อยากตรวจด้วยค่ะ,"ผศ. นพ.มงคล สมพรรัตนพันธ์ศุกร์ แพทย์เฉพาะทางอายุรศาสตร์โรคภูมิแพ้ ว่างในศุกร์ 13:00 - 17:00 น. สัปดาห์ที่ 1,2,3,4,5 ครับ"
ปวดตาทั้งวัน เจอแสงจ้าก็ปวด และทำงานหน้าจอนาน ๆ ไม่ได้ และจะปวดตาหนักในช่วงตอนเย็นของทุกวัน ปวดขมับ มีอาการแบบนี้มา 4-5 วันแล้ว กินยาแก้ปวดนอนพักก็ยังไม่หายเลยอยากพบแพทย์เฉพาะทางครับ,"รศ. นพ.ณัฐวุฒิ รอดอนันต์ศุกร์ แพทย์เฉพาะทางเกี่ยวกับโรคจอประสาทตา ว่างในวันศุกร์ เวลา 09:30 - 11:30 น. สัปดาห์ที่ 1,2,3,4,5 คับ"
รู้สึกเหมือนมีอะไรเคลื่อนไหวในท้อง ตรงช่วงใต้ลิ้นปี่ แน่นร้าวไปชายโครง ไปเอ็กซ์เรย์มาก็ไม่เจออะไร มีแพทย์เฉพาะทางท่านใดชำนาญด้านนี้บ้าง อยากขอคำปรึกษาครับ,"รศ. นพ.จุลจักร ลิ่มศรีวิไล แพทย์เฉพาะทางเกี่ยวกับโรค โรคท้องเสียเรื้อรัง, ลำไส้อักเสบเรื้อรัง , การส่องกล้องกระเพาะอาหาร ลำไส้ใหญ่และลำไส้เล็ก ว่างในวัน พฤหัสบดี 16:00 - 19:00 น. สัปดาห์ที่ 1,2,3,4,5 ศุกร์ 09:30 - 12:30 น. สัปดาห์ที่ 1,2,3,4,5 เสาร์ 09:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 ครับ"
,
โรงพยาบาลเปิดให้บริการรักษาทุกโรคหรือไม่,ทางโรงพยาบาลพร้อมให้บริการ ศูนย์รักษาโรคเฉพาะทาง ทั้งหมด 19 ศูนย์ เเละ คลินิก พร้อมด้วยทีมเเพทย์ที่เชี่ยวชาญเฉพาะทางเเละทีมพยาบาลที่ได้รับการอบรมตามมาตรฐานวิชาชีพ โดยเฉพาะโรคซับซ้อนที่รักษายาก
แพทย์ของโรงพยาบาลศิริราช ปิยมหาราชการุณย์ เป็นบุคลากรของศิริราชหรือไม่?,แพทย์ประจำและแพทย์ที่ปรึกษาเป็นแพทย์จากคณะแพทยศาสตร์ศิริราชทั้งสิ้น และ เป็นอาจารย์แพทย์ที่มีความเชี่ยวชาญเฉพาะทางและมากด้วยคุณวุฒิ
โรงพยาบาลศิริราช ปิยมหาราชการุณย์ ตั้งอยู่บริเวณใด,โรงพยาบาลศิริราช ปิยมหาราชการุณย์ เลขที่ 2 ถนนวังหลัง แขวงศิริราช เขตบางกอกน้อย กรุงเทพมหานคร 10700 ตั้งอยู่บนพื้นที่เดิมของสถานีรถไฟธนบุรีถัดจากโรงพยาบาลศิริราช โดยตึกตั้งอยู่หน้าสถานีท่าเรือรถไฟ ถือเป็นอีกหนึ่งโรงพยาบาลในสังกัดคณะแพทยศาสตร์ศิริราชพยาบาล
ผู้ป่วยสามารถใช้สิทธิประกันสังคมและสิทธิข้าราชการได้หรือไม่,ทางโรงพยาบาลไม่ได้เปิดรับใช้สิทธิประกันสังคม และสิทธิข้าราชการ **หากท่านใช้สิทธิเบิกข้าราชการ ท่านต้องสำรองจ่ายค่ารักษาพยาบาล และนำเอกสารกรมบัญชีกลางที่ทางโรงพยาบาลออกให้ สอบถามสิทธิและหลักฐานที่ต้องใช้ในการเบิกกับทางต้นสังกัดของผู้เข้ารับบริการโดยตรง
โรงพยาบาลศิริราช ปิยมหาราชการุณย์ เป็นโรงพยาบาลรัฐหรือเอกชน,โรงพยาบาลศิริราช ปิยมหาราชการุณย์ เป็นโรงพยาบาลในกำกับของรัฐ ภายใต้คณะแพทยศาสตร์ศิริราชพยาบาล โดยเน้นการบริหารจัดการที่มีประสิทธิภาพและมีความคล่องตัว ในอัตราค่าบริการที่สมเหตุสมผล ซึ่งเป็นอีกทางเลือกของผู้ป่วยที่ต้องการความสะดวก และพร้อมที่จะรับภาระค่าบริการด้วยตนเองโดยไม่พึ่งพาสวัสดิการของภาครัฐ
สามารถติดต่อโรงพยาบาลได้ในช่องทางใดบ้าง,ท่านสามารถติดต่อเราได้ที่ Contact Center 1474 หรือ 02-419-1000 (อัตโนมัติ 24 ชั่วโมง) หรือ Line Official: @siphcallcenter (มี @) หรือ www.siphhospital.com หรือ อีเมล์ info@siphhospital.com หรือ เฟซบุ๊ค http://www.facebook.com/piyamaharajkarun
โรงพยาบาลเปิดให้บริการเวลาใด,ในส่วนของแผนกผู้ป่วยนอก (OPD) เปิดให้บริการตั้งแต่เวลา 07:00 - 21:00 น. แผนกฉุกเฉิน (ER) เปิดให้บริการ 24 ชั่วโมง (ยกเว้นศัลยศาสตร์อุบัติเหตุ) และให้บริการผู้ป่วยฉุกเฉินและผู้ป่วยที่ต้องการรักษาหลังเวลาทำการ 21.00 น.
บริการห้องพักผู้ป่วยมีกี่แบบ,ห้องพักสำหรับผู้ป่วยมี 5 แบบ พร้อมทิวทัศน์ริมน้ำและวิวเมืองให้เลือกใช้บริการได้ตามความเหมาะสม ครบครันด้วยสิ่งอำนวยความสะดวก Deluxe Room 33 ตร.ม. / VIP Suite 80 ตร.ม. / Executive Suite 120 ตร.ม. / Premier Suite 138.38 ตร.ม. / Children Room 33 ตร.ม.
สำหรับผู้ที่มีประกันสุขภาพภาคเอกชน จะได้รับความคุ้มครองในการดูแลรักษาที่โรงพยาบาลศิริราช ปิยมหาราชการุณย์ หรือไม่,โรงพยาบาลทำงานร่วมกับบริษัทประกันชั้นนำ กรุณาสอบถามรายชื่อบริษัทประกันก่อนเข้ารับบริการ ได้ที่ บริษัทคู่สัญญาประกันสุขภาพ แลโปรดแจ้งสิทธิทุกครั้ง ก่อนเข้ารับการรักษา
หากต้องการขอประวัติการรักษาและเอกสารทางการแพทย์ สามารถติดต่อผ่านช่องทางไหนได้บ้าง,ท่านสามารถทำได้ 2 วิธี  1. ติดต่อที่เคาน์เตอร์ต้อนรับและลงทะเบียน โถงบริการผู้ป่วยนอก ชั้น 2 พร้อมนำบัตรประชาชนหรือหนังสือมอบอำนาจมาแสดง  2. ส่งรายละเอียดพร้อมหลักฐาน สำเนาบัตรประชาชนผู้ป่วย และแจ้งรายละเอียดประวัติการรักษาในช่วงเวลาใด กรณีขอแทนผู้ป่วยให้แนบสำเนาบัตรประชาชนผู้ขอและผู้ป่วย พร้อมหนังสือมอบอำนาจ มาที่อีเมล info@siphhospital.com   โดยโรงพยาบาลใช้เวลาในการออกเอกสาร 2-14 วันทำการ สามารถสอบถามเพิ่มเติมได้ที่ โทร. 02-419-2244
,
ถ้าต้องการเดินทางไปโรงพยาบาลศิริราช ปิยมหาราชการุณย์ ด้วยรถเมล์ สามารถเดินทางสายอะไรได้บ้าง,"สำหรับท่านที่จะเดนทางมาติดต่อโรงพยาบาลด้วยรถเมล์ สามารถเดินได้บริเวณ หน้าโรงพยาบาลศิริราชก็มีสายรถเมล์ที่ผ่าน ได้แก่ สาย 91, 146, 710 เเละบริเวณ ท่าพระจันทร์ (ใกล้ ๆ สนามหลวง) สายที่ผ่านได้แก่ สาย 32, 53, 203 แล้วนั่งเรือข้ามฟากมายังท่าวังหลัง (ศิริราช)
"
